concept,concept_type,domain,drill_up,indicator_url,name,scale,scales,tooltip,unit
children_out_of_school_primary_female,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFNPaEhiUDJ0QWZYOEwwQlBSTmtza1E,"Children out of primary school, female",lin,"['linear', 'log']",Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,
children_out_of_school_primary_male,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFd5cnQzNU5IYm1vTWtrTWRIX3UxbHc,"Children out of primary school, male",lin,"['linear', 'log']",Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,
primary_completion_rate_total_percent_of_relevant_age_group,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEhTN2hlZ05ZczVwZDdVZlF5cUxJb2c,Primary school completion,lin,"['linear', 'log']","Primary completion rate is the percentage of students completing the last year of primary school. It is calculated by taking the total number of students in the last grade of primary school, minus the number of repeaters in that grade, divided by the total number of children of official graduation age.",% of relevant age group
primary_school_completion_percent_of_boys,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdGhCWnZrTGMwaTl5ek9QS0szMTIwcEE,Primary school completion: boys,,"['linear', 'log']",Completion rate in primary schooling for boys (percent of boys). ,%
primary_school_completion_percent_of_girls,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFVxSEVZVWE1b0l6NWo5NzNTZ2IzWVE,Primary school completion: girls,,"['linear', 'log']",Completion rate in primary schooling for girls (percent of girls). ,%
expenditure_per_student_primary_percent_of_gdp_per_person,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFJTUEVleTM0cE5jTnlTMk41ajBGclE,"Expenditure per student, primary",lin,"['linear', 'log']","Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per person. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).",% of GDP/capita
expenditure_per_student_secondary_percent_of_gdp_per_person,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDBuUVIzbWwtaU5helpJVG5BMmxyX1E,"Expenditure per student, secondary",lin,"['linear', 'log']","Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per person. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).",% of GDP/capita
expenditure_per_student_tertiary_percent_of_gdp_per_person,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDJxdlN6cEtYMjMxdC1XdGdKOXR2bkE,"Expenditure per student, tertiary",lin,"['linear', 'log']","Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per person. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).",% of GDP/capita
mean_years_in_school_women_25_years_and_older,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHFEVVhHZElzb0VRWE9pc3JmZHg2dWc,"Mean years in school, women 25+",lin,"['linear', 'log']","The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",
mean_years_in_school_men_25_years_and_older,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdC03X1ZWNGJHR3FBb0Q3VjJIdV9OSmc,"Mean years in school, men 25+",lin,"['linear', 'log']","The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",
mean_years_in_school_women_25_to_34_years,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdC1MYzAtY2xPQ2xOR1lMeGhYSWlpR0E,"Mean years in school, women 25-34",lin,"['linear', 'log']","The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",
mean_years_in_school_men_25_to_34_years,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHlYZHNWN1YtWVNudU9UbWJOd19nUVE,"Mean years in school, men 25-34",lin,"['linear', 'log']","The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",
mean_years_in_school_women_of_reproductive_age_15_to_44,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdEttYjNNUTlkUTdrMUQ0c3BTR0dINlE,"Mean years in school, women 15-44",lin,"['linear', 'log']","The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",
mean_years_in_school_women_percent_men_25_to_34_years,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdG5JUDZjTHR5SzZFZjBqa2JYYUxBclE,"Mean years in school, women/men, 25-34",lin,"['linear', 'log']","The ratio of female to male number of years in school, among 25- to 34-year-olds, including primary, secondary and tertiary education. ",%
energy_use_total,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHd2Nld0NEVFOGRiSTc0V3ZoekNuS1E,Energy use,lin,"['linear', 'log']","Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",tons in oil eqv
energy_use_per_person,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHRmYjJWLVF0SjlQY1N5Vm9yU0xxaGc,Energy use per person,lin,"['linear', 'log']","Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",tons in oil eqv
energy_production_total,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFNZMXZwcjNPY2c3MWwxbWIwVFgyd0E,Energy production,lin,"['linear', 'log']","Energy production refers to forms of primary energy--petroleum (crude oil, natural gas liquids, and oil from nonconventional sources), natural gas, solid fuels (coal, lignite, and other derived fuels), and combustible renewables and waste--and primary electricity, all converted into tonnes of oil equivalents, counted in tonnes of oil equivalent (toe).",tons in oil eqv
energy_production_per_person,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHJ6UTV4MkEyN0NYdnJJOG1oYUxmTWc,Energy production per person,lin,"['linear', 'log']","Energy production refers to forms of primary energy--petroleum (crude oil, natural gas liquids, and oil from nonconventional sources), natural gas, solid fuels (coal, lignite, and other derived fuels), and combustible renewables and waste--and primary electricity, all converted into tonnes of oil equivalents, calculated by dividing with the population of each country during the given year, counted in tonnes of oil equivalent (toe).",tons in oil eqv
pump_price_for_gasoline_us_per_liter,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEdz8B4njtoHPA,Pump price for gasoline,lin,"['linear', 'log']",Fuel prices refer to the pump prices of the most widely sold grade of gasoline. ,$/liter
coal_consumption_total,measure,,,http://spreadsheets.google.com/pub?key=0Auk0ddvGIrGqcHlqNnRTY1pxbUVjMVRtTWlGZG1PVmc,Coal consumption,lin,"['linear', 'log']",Total amount of coal consumption (tonnes oil equivalent),tons in oil eqv
coal_consumption_per_cap,measure,,,http://spreadsheets.google.com/pub?key=0Auk0ddvGIrGqcHlqNnRTY1pxbUVka1hObHlPbTlmUUE,Coal consumption per person,lin,"['linear', 'log']",Coal consumption per person (tonnes oil equivalent),tons in oil eqv
electricity_use_per_person,measure,,,http://spreadsheets.google.com/pub?key=tiVeyAJd7iRWorOwl_ARWEQ,Electricity use per person,lin,"['linear', 'log']","The amount of electricity consumed per person during the given year, counted in kilowatt-hours (kWh).",kWh
electricity_use_total,measure,,,http://spreadsheets.google.com/pub?key=tEu78F4acf0u6MRyhg5-9qQ,Electricity use,lin,"['linear', 'log']","The total amount of electricity consumed during the given year, counted in kilowatt-hours (kWh).",kWh
residential_electricity_use_per_person,measure,,,http://spreadsheets.google.com/pub?key=t7SFNscT9Ex0s9i3av7PxRQ,Residential electricity use per person,lin,"['linear', 'log']","The amount of residential electricity consumed per person during the given year, counted in kilowatt-hours (kWh).",kWh
residential_electricity_use_total,measure,,,http://spreadsheets.google.com/pub?key=teUZEfKw52HewO3D0YrQ5HA,Residential electricity use,lin,"['linear', 'log']","The total amount of residential electricity consumed during the given year, counted in kilowatt-hours (kWh).",kWh
electricity_generation_total,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEehRG-9mMHYdg,Electricity generation,lin,"['linear', 'log']",Electricity generation (kilowatt-hours),kWh
electricity_generation_per_person,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEeMtYNdMyLKOw,Electricity generation per person,log,"['log', 'linear']",Electricity generation per person (kilowatt-hours),kWh
hydro_power_generation_total,measure,,,http://spreadsheets.google.com/pub?key=t1MShlv870O6LmFNEHazdEg,Hydro electricity production,lin,"['linear', 'log']","The amount of hydro power generated during the given year, counted in tonnes of oil equivalent (toe).",tons in oil eqv
hydro_power_generation_per_person,measure,,,http://spreadsheets.google.com/pub?key=tSjVrGemv30eCh3jPZkXYCQ,Hydro electricity production per person,lin,"['linear', 'log']","The amount of hydro power generated per person during the given year, counted in tonnes of oil equivalent (toe).",tons in oil eqv
nuclear_power_generation_total,measure,,,http://spreadsheets.google.com/pub?key=trRb8ZIaBOD4KzikShshZ2g,Nuclear electricity production,lin,"['linear', 'log']","The amount of electricity produced by nuclear power plants in a given year, counted in tonnes of oil equivalent (toe).",tons in oil eqv
nuclear_power_generation_per_person,measure,,,http://spreadsheets.google.com/pub?key=t28UhT9IaWINamciSiJIS7w,Nuclear electricity production per person,lin,"['linear', 'log']","The amount of electricity produced by nuclear power plants per person in a given year, counted in tonnes of oil equivalent (toe).",tons in oil eqv
natural_gas_production_total,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfv2K6dZmskWg,Natural gas production,lin,"['linear', 'log']",Natural gas production (tonnes oil equivalent),tons in oil eqv
natural_gas_production_per_person,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEf0IBo_AGrgKA,Natural gas production per person,log,"['log', 'linear']",Natural gas production per person (tonnes oil equivalent),tons in oil eqv
natural_gas_proven_reserves_per_person,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfZd6DbNF1MKA,Natural gas proven reserves per person,log,"['log', 'linear']",Natural gas proven reserves per person (tonnes oil equivalent),tons in oil eqv
natural_gas_proved_reserves_total,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEc5qiv87tr3NA,Natural gas proved reserves,lin,"['linear', 'log']",Proven reserves of natural gas (tonnes oil equivalent),tons in oil eqv
oil_production_per_person,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEeUgUuvuJTONQ,Oil production per person,lin,"['linear', 'log']",Crude oil production per person (tonnes oil equivalent),tons
oil_production_total,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEdNIa3ckVXaCQ,Oil production,lin,"['linear', 'log']",Total amount of crude oil production (tonnes oil equivalent),tons
oil_proven_reserves_per_person,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfrI4YlDJDUag,Oil proven reserves per person,log,"['log', 'linear']",Oil proven reserves per person (tonnes oil equivalent),tons
oil_proved_reserves_total,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfJfS1WYrLeBA,Oil proved reserves,lin,"['linear', 'log']",Proven reserves of oil (tonnes oil equivalent),tons
oil_consumption_total,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEcm0fIa0IVtKw,Oil consumption,lin,"['linear', 'log']",Total amount of crude oil consumption (tonnes oil equivalent),tons
oil_consumption_per_cap,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdERNZmlfUGM5YVE3bmEwODdlRDFqSkE,Oil consumption per person,lin,"['linear', 'log']",Oil Consumption per capita (tonnes per year per person),tons
drought_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rvRwTPi0n_94EScVA3YjLeg,Drought deaths,lin,"['linear', 'log']",Number of people killed in drought during the given year.,annual
earthquake_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rvbbs7uxQc7swJ4RR2BcQfA,Earthquake deaths,lin,"['linear', 'log']",Number of people killed in earthquake during the given year.,annual
epidemic_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rvtZF_JC0OI27tL66o6hiMQ,Epidemic deaths,lin,"['linear', 'log']",Number of people killed in epidemic during the given year.,annual
extreme_temperature_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=r4WUTsck3NfccM6UsKlGF7g,Extreme temperature deaths,lin,"['linear', 'log']",Number of people killed in extreme temperature during the given year.,annual
flood_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rtESPUlrTyLEoHpURqE8RAg,Flood deaths,lin,"['linear', 'log']",Number of people killed in flood during the given year.,annual
storm_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=r0JePjBgBQqtuh5wh1Wz9CA,Storm deaths,lin,"['linear', 'log']",Number of people killed in storm during the given year.,annual
tsunami_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rdBew79hTeXcIXhB1VCTPfg,Tsunami deaths,lin,"['linear', 'log']",Number of people killed in tsunami during the given year.,annual
plane_crash_deaths_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rSv5aMDwESiKg-yA__-tRFg,Plane crash deaths,lin,"['linear', 'log']",Number of people killed in air accidents during the given year.,annual
drought_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rAYA0bjnfYwzXnir0cigijQ,Drought affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in drought during the given year.",annual
earthquake_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rG_BjsDwyS2n7DANNH3i5vQ,Earthquake affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in earthquake during the given year.",annual
epidemic_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=r6H8dfVPu2CJ2nzI8X0jurw,Epidemic affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in epidemic during the given year.",annual
extreme_temperature_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=ryPd-H6Kn3wcHC50zyImqUg,Extreme temperature affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in extreme temperature during the given year.",annual
flood_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rsCDusOObseaoBUdarzw7Kw,Flood affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in flood during the given year.",annual
storm_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rAxnmm4ZL2HrYjIqJX0Ch-w,Storm affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in storm during the given year.",annual
tsunami_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rskN46tpbe6Iy3K_ULk1_cQ,Tsunami affected,lin,"['linear', 'log']","Total number of people getting affected, injured or killed in tsunami during the given year.",annual
plane_crash_affected_annual_number,measure,,,http://spreadsheets.google.com/pub?key=rhbS3kWOfMzvY4ofUFoeFJg,Plane crash affected,log,"['log', 'linear']","Total number of people getting affected, injured or killed in air accidents during the given year.",annual
co2_intensity_of_economic_output_kg_co2_per_2005_ppp_of_gdp,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEVUcEJVRzlFWWRRcjhveGlrQzdwdUE,CO2 intensity of economic output,lin,"['linear', 'log']",Measures the amount of CO2 (kg) emitted for every dollar of GDP (constant purchasing power parity-adjusted) produced.,kg CO2 per $ of GDP
cumulative_co2_emissions_tonnes,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEed4UamoiNCFA,Cumulative CO2 emissions,log,"['log', 'linear']",Total CO2 emissions from fossil fuel for the period between 1751 and the relevant year in metric tonnes. ,tons
sulfur_emissions_per_person_kg,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0uBndTxZAXNQ,Sulfur emissions per person,log,"['log', 'linear']",Sulfur emissions per person. Associated with acid rain. (Kilograms of sulfur per person and year). ,kg
yearly_co2_emissions_tonnes,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1NHPC9MyZ9SQ,CO2 emissions (2012 version),log,"['log', 'linear']",Total carbon dioxide emissions from the burning of fossil fuels during the given year (1000 metric tonnes of CO2).,kilotons
total_sulfur_emission_kilotonnes,measure,,,http://spreadsheets.google.com/pub?key=t9SYWh7siLJDzyZYN1R4HfQ,Sulfur emission,log,"['log', 'linear']",Total sulfur emissions per year. Associated with acid rain. 1000 tonnes of sulfur per year. ,kilotons
forest_land_total_area_ha,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWeB1N1HlpFQVQ,Forest total area,log,"['log', 'linear']","Total area of land (hectares) which is spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10%, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use.",ha
primary_forest_area_ha,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWeECA6Gf__BNQ,Primary forest area,log,"['log', 'linear']","Total area of forest land (hectares) with native species, where there are no clearly visible indications of human activities and the ecological processes are not significantly disturbed.",ha
planted_forest_area_ha,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWc4aJd9fV8zZg,Planted forest area,log,"['log', 'linear']","Total area of forest land (hectares) established through planting or seeding, basically of introduced species and in some cases native species.",ha
wood_removal_cubic_meters,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWe8O-N9RgxzDw,Wood removal,log,"['log', 'linear']","The wood removed (volume of round wood over bark) for production of goods and services other than energy production (wood fuel), excluding felled trees left in the forest. ",cubic meters
forest_coverage_percent,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWfRGgfhjf8FBQ,Forest coverage,lin,"['linear', 'log']","Percentage of total land area that has been covered with forest during the given year; excluding other wooded land, which is spanning more than 0.5 hectares, with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ, or with a combined cover of shrubs, bushes and trees above 10 percent.",%
biomass_stock_in_forest_tons,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWcsSl830EklJA,Biomass stock in forest,log,"['log', 'linear']","Biomass stock refers to organic material both above-ground and below-ground, and both living and dead, e.g., trees, crops, grasses, tree litter, roots etc.; including the pool definition for above- and below-ground biomass in forest; other wooded land not included. ",tons
privately_owned_forest_land_percent,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWdFemmS_iN5fw,Private forest land,lin,"['linear', 'log']","Percentage of forest land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",%
privately_owned_other_wooded_land_percent,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWdtCylhQOQiXw,Private other wooded land,lin,"['linear', 'log']","Percentage of other wooded land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",%
forest_products_removal_total_dollar,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWf66stZ2oNUAA,"Forest products removal, total",log,"['log', 'linear']","Total annual value of forest products in current USD, including both wood and non-wood removal during that year.",$
forest_products_removal_per_ha_dollar,measure,,,http://spreadsheets.google.com/pub?key=pp59adS3CHWd9CVdfFx1dEw,"Forest products removal, per ha",lin,"['linear', 'log']","Total annual value of forest products in current USD per hectares, including both wood and non-wood removal during that year.",$
agricultural_land_percent_of_land_area,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEF3alRGS0JQZVgwSW1FWUxUQmZoWXc,Agricultural land,lin,"['linear', 'log']","Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Includes land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It excludes land under trees grown for wood or timber.",% of land area
forest_area_sq_km,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFRuaV91Mm9JeUhwR1hHRXJhV3ZBQkE,Forest area,lin,"['linear', 'log']","Forest area is land under natural or planted stands of trees, whether productive or not.",sq. km
surface_area_sq_km,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFFWcWdEM0RXT1lRZ0wwRVNsakZCaWc,Surface area,lin,"['linear', 'log']","A country's total area, including areas under inland bodies of water and some coastal waterways.",sq. km
renewable_water_cu_meters_per_person,measure,,,http://spreadsheets.google.com/pub?key=rPN9VekxwpUzwowMaxg9Ybw,Renewable water,lin,"['linear', 'log']","Actual quantity of renewable water resources per person per year in cubic meters. Renewable water resources refer to the average annual flow of rivers and recharge of groundwater generated from perecipitation, which corresponds to the maximum theoretical yearly amount of water actually available for a country at a given moment. and the resources shared with neighboring countries (geopolitical constraints) have been taken into account. ",cu meters per person
internal_renewable_water_cu_meters_per_person,measure,,,http://spreadsheets.google.com/pub?key=riLRFECHMsTq7OTa2KYZCWA,Internal renewable water,lin,"['linear', 'log']",Quantity of internal renewable water resources per person per year in cubic meters. Internal Renewable Water Resources (IRWR): Long-term average annual flow of rivers and recharge of aquifers generated from endogenous precipitation. Double counting of surface water and groundwater resources is avoided by deducting the overlap from the sum of the surface water and groundwater resources. ,cu meters per person
water_withdrawal_cu_meters_per_person,measure,,,http://spreadsheets.google.com/pub?key=rezAT4nYhKc2Loe6CxWSPWw,Water withdrawal,lin,"['linear', 'log']","Total annual quantity of freshwater withdrawn per person per year, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",cu meters per person
municipal_water_withdrawal_cu_meters_per_person,measure,,,http://spreadsheets.google.com/pub?key=ruUmTRBZ5xYjpOAhOT9VQbw,Municipal water withdrawal,lin,"['linear', 'log']","Volume of water withdrawal per person per year directly used by the population, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",cu meters per person
agricultural_water_withdrawal_percent_of_total,measure,,,http://spreadsheets.google.com/pub?key=rab3jHe_JZrU1pqlX0xnQEw,Agricultural water withdrawal share,lin,"['linear', 'log']","Percentage of the total water withdrawal used in agriculture, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater, use of agricultural drainage water, desalinated water and treated wastewater. It also includes water withdrawn for irrigation purposes and for livestock watering, although depending on the country this last category sometimes is included in municipal water withdrawal. As far as the water withdrawn for irrigation is concerned, the value far exceeds the consumptive use of irrigation because of water lost in its distribution from its source to the crops. ",%
industrial_water_withdrawal_percent_of_total,measure,,,http://spreadsheets.google.com/pub?key=rGKP-BBylLOM11iGahW1lxA,Industrial water withdrawal share,lin,"['linear', 'log']","Percentage of the total water withdrawal used in industry, including renewable water resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and potential use of desalinated water or treated wastewater. Usually, this sector refers to self-supplied industries not connected to any distribution network. The ratio between net consumption and withdrawal is estimated at less than 5%.",%
municipal_water_withdrawal_percent_of_total,measure,,,http://spreadsheets.google.com/pub?key=r58mA3XNUvBov6M_1T_FiUg,Municipal water withdrawal share,lin,"['linear', 'log']","Percentage of the total water withdrawal directly used by the population, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",%
desalinated_water_produced_billion_cu_meters,measure,,,http://spreadsheets.google.com/pub?key=rt3BaikcRwJBNC0CvQsjDCA,Desalinated water produced,lin,"['linear', 'log']","Total quantity of the production of freshwater by desalination of brackish or saltwater (mostly for domestic purposes) during the given year, counted in billion cubic meters.",billion cu meters
total_water_withdrawal_billion_cu_meters,measure,,,http://spreadsheets.google.com/pub?key=rIG3ZWxv381t2bIL2BNaIVw,Total water withdrawal,lin,"['linear', 'log']","Annual quantity of freshwater withdrawn for agricultural, industrial and municipal purposes, counted in billion cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",billion cu meters
infant_mortality_rate_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0NpF2PTov2Cw,Infant mortality,log,"['log', 'linear']",Deaths of children during first year of life (per 1000 live births). ,deaths under age 1 per 1000 births
underweight_children,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDdTQUtvNEJhb0RjRjU0WUtET1R0Vnc,Underweight children,lin,"['linear', 'log']",Percent of children under five who are more than two standard deviations below average weight for age. ,%
all_causes_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tbpc_fYEqPzaE7pDWBG84Rw,All causes deaths in newborn,log,"['log', 'linear']","All causes deaths in newborn (per 1,000 births)",per 1 000 births
birth_asphyxia_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=t_0WcTuc94YT9cJVvy1tmUg,Birth asphyxia deaths in newborn,log,"['log', 'linear']","Birth asphyxia deaths in newborn (per 1,000 births)",per 1 000 births
congenital_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tneegXfZGHA0-nLG25ypnyg,Congenital deaths in newborn,log,"['log', 'linear']","Congenital deaths in newborn (per 1,000 births)",per 1 000 births
diarrhoeal_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tX7NQAP_5H4TOS1OEnxdxYw,Diarrhoeal deaths in newborn,log,"['log', 'linear']","Diarrhoeal deaths in newborn (per 1,000 births)",per 1 000 births
pneumonia_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tOXHWd6PcUGK3Dg-k2N8Clw,Pneumonia deaths in newborn,log,"['log', 'linear']","Pneumonia deaths in newborn (per 1,000 births)",per 1 000 births
prematurity_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tVMPnbOfGdvTRrtbuIbRw5w,Prematurity deaths in newborn,log,"['log', 'linear']","Prematurity deaths in newborn (per 1,000 births)",per 1 000 births
sepsis_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tGVRSoAJtdwQ30CqCSexKJA,Sepsis deaths in newborn,log,"['log', 'linear']","Sepsis deaths in newborn (per 1,000 births)",per 1 000 births
tetanus_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=t1E7e32tlIxtJU9UhnR9nJg,Tetanus deaths in newborn,log,"['log', 'linear']","Tetanus deaths in newborn (per 1,000 births)",per 1 000 births
other_deaths_in_newborn_per_1000_births,measure,,,http://spreadsheets.google.com/pub?key=tiYIen5OQP0fKiQbg6g8VyA,Other deaths in newborn,log,"['log', 'linear']","Other deaths in newborn (per 1,000 births)",per 1 000 births
